source,target
"Nghị quyết 522b/NQ-UBTVQH13 VỀ TRANG PHỤC ĐỐI VỚI CÁN BỘ, CÔNG CHỨC, VIÊN CHỨC NGÀNH KIỂM SÁT VÀ GIẤY CHỨNG MINH KIỂM SÁT VIÊN","Nghị quyết 973/2015/UBTVQH13 VỀ SỬA ĐỔI, BỔ SUNG BẢNG PHỤ CẤP CHỨC VỤ ĐỐI VỚI CÁN BỘ LÃNH ĐẠO CỦA NHÀ NƯỚC VÀ ĐẠI BIỂU QUỐC HỘI HOẠT ĐỘNG CHUYÊN TRÁCH, BẢNG LƯƠNG CHUYÊN MÔN, NGHIỆP VỤ NGÀNH TÒA ÁN, NGÀNH KIỂM SÁT BAN HÀNH KÈM THEO NGHỊ QUYẾT SỐ 730/2004/NQ-UBTVQH11 NGÀY 30 THÁNG 9 NĂM 2004 CỦA ỦY BAN THƯỜNG VỤ QUỐC HỘI; SỬA ĐỔI, BỔ SUNG NGHỊ QUYẾT SỐ 522b/NQ-UBTVQH13 NGÀY 16 THÁNG 8 NĂM 2012 CỦA ỦY BAN THƯỜNG VỤ QUỐC HỘI VỀ TRANG PHỤC ĐỐI VỚI CÁN BỘ, CÔNG CHỨC, VIÊN CHỨC NGÀNH KIỂM SÁT VÀ GIẤY CHỨNG MINH KIỂM SÁT VIÊN"
"Nghị quyết 55/2010/QH12 Về miễn, giảm thuế sử dụng đất nông nghiệp","Nghị quyết 28/2016/QH14 Nghị quyết sửa đổi, bổ sung một số điều của Nghị quyết số 55/2010/QH12 về miễn, giảm thuế sử dụng đất nông nghiệp"
Nghị định 05/2015/NĐ-CP Quy định chi tiết và hướng dẫn thi hành một số nội dung của Bộ luật Lao động,"Nghị định 148/2018/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 05/2015/NĐ-CP ngày 12/01/2015 của Chính phủ quy định chi tiết và hướng dẫn thi hành một số nội dung của Bộ luật lao động"
"Nghị định 147/2003/NĐ-CP Quy định về điều kiện, thủ tục cấp giấy phép và quản lý hoạt động của các cơ sở cai nghiện ma túy tự nguyện","Nghị định 140/2018/NĐ-CP Sửa đổi, bổ sung các Nghị định liên quan đến điều kiện đầu tư kinh doanh và thủ tục hành chính thuộc phạm vi quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội"
Nghị định 28/2012/NĐ-CP Quy định chi tiết và hướng dẫn thi hành một số điều của Luật Người khuyết tật,"Nghị định 140/2018/NĐ-CP Sửa đổi, bổ sung các Nghị định liên quan đến điều kiện đầu tư kinh doanh và thủ tục hành chính thuộc phạm vi quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội"
Nghị định 136/2013/NĐ-CP Quy định chính sách trợ giúp xã hội đối với đối tượng bảo trợ xã hội,"Nghị định 140/2018/NĐ-CP Sửa đổi, bổ sung các Nghị định liên quan đến điều kiện đầu tư kinh doanh và thủ tục hành chính thuộc phạm vi quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội"
"Nghị định 52/2014/NĐ-CP Quy định điều kiện, thủ tục cấp giấy phép hoạt động dịch vụ việc làm của doanh nghiệp hoạt động dịch vụ việc làm","Nghị định 140/2018/NĐ-CP Sửa đổi, bổ sung các Nghị định liên quan đến điều kiện đầu tư kinh doanh và thủ tục hành chính thuộc phạm vi quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội"
"Nghị định 31/2015/NĐ-CP Quy định chi tiết thi hành một số điều của Luật Việc làm về đánh giá, cấp chứng chỉ kỹ năng nghề quốc gia","Nghị định 140/2018/NĐ-CP Sửa đổi, bổ sung các Nghị định liên quan đến điều kiện đầu tư kinh doanh và thủ tục hành chính thuộc phạm vi quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội"
Nghị định 11/2016/NĐ-CP Quy định chi tiết thi hành một số điều của Bộ luật Lao động về lao động nước ngoài làm việc tại Việt Nam,"Nghị định 140/2018/NĐ-CP Sửa đổi, bổ sung các Nghị định liên quan đến điều kiện đầu tư kinh doanh và thủ tục hành chính thuộc phạm vi quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội"
Nghị định 143/2016/NĐ-CP Quy định điều kiện đầu tư và hoạt động trong lĩnh vực giáo dục nghề nghiệp,"Nghị định 140/2018/NĐ-CP Sửa đổi, bổ sung các Nghị định liên quan đến điều kiện đầu tư kinh doanh và thủ tục hành chính thuộc phạm vi quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội"
"Nghị định 166/2016/NĐ-CP Quy định về giao dịch điện tử trong lĩnh vực bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thất nghiệp","Nghị định 140/2018/NĐ-CP Sửa đổi, bổ sung các Nghị định liên quan đến điều kiện đầu tư kinh doanh và thủ tục hành chính thuộc phạm vi quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội"
"Nghị định 44/2016/NĐ-CP Quy định chi tiết một số điều của Luật an toàn, vệ sinh lao động về hoạt động kiểm định kỹ thuật an toàn lao động, huấn luyện an toàn, vệ sinh lao động và quan trắc môi trường lao động","Nghị định 140/2018/NĐ-CP Sửa đổi, bổ sung các Nghị định liên quan đến điều kiện đầu tư kinh doanh và thủ tục hành chính thuộc phạm vi quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội"
"Nghị định 103/2017/NĐ-CP Quy định về thành lập, tổ chức, hoạt động, giải thể và quản lý các cơ sở trợ giúp xã hội","Nghị định 140/2018/NĐ-CP Sửa đổi, bổ sung các Nghị định liên quan đến điều kiện đầu tư kinh doanh và thủ tục hành chính thuộc phạm vi quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội"
Nghị định 49/2018/NĐ-CP Quy định về kiểm định chất lượng giáo dục nghề nghiệp,"Nghị định 140/2018/NĐ-CP Sửa đổi, bổ sung các Nghị định liên quan đến điều kiện đầu tư kinh doanh và thủ tục hành chính thuộc phạm vi quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội"
Nghị định 16/2016/NĐ-CP Về quản lý và sử dụng vốn hỗ trợ phát triển chính thức (ODA) và vốn vay ưu đãi của các nhà tài trợ nước ngoài,"Nghị định 132/2018/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 16/2016/NĐ-CP ngày 16 tháng 3 năm 2016 về quản lý và sử dụng vốn hỗ trợ phát triển chính thức (ODA) và vốn vay ưu đãi của các nhà tài trợ nước ngoài"
Nghị định 110/2014/NĐ-CP Quy định điều kiện kinh doanh vận tải đường thủy nội địa,"Nghị định 128/2018/NĐ-CP SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA CÁC NGHỊ ĐỊNH QUY ĐỊNH VỀ ĐIỀU KIỆN ĐẦU TƯ, KINH DOANH TRONG LĨNH VỰC ĐƯỜNG THỦY NỘI ĐỊA"
"Nghị định 24/2015/NĐ-CP Quy định chi tiết và biện pháp thi hành một số điều của Luật Giao thông đường thủy nội địa và Luật sửa đổi, bổ sung một số điều của Luật Giao thông đường thủy nội địa","Nghị định 128/2018/NĐ-CP SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA CÁC NGHỊ ĐỊNH QUY ĐỊNH VỀ ĐIỀU KIỆN ĐẦU TƯ, KINH DOANH TRONG LĨNH VỰC ĐƯỜNG THỦY NỘI ĐỊA"
"Nghị định 78/2016/NĐ-CP Quy định điều kiện kinh doanh dịch vụ đào tạo thuyền viên, người lái phương tiện thủy nội địa","Nghị định 128/2018/NĐ-CP SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA CÁC NGHỊ ĐỊNH QUY ĐỊNH VỀ ĐIỀU KIỆN ĐẦU TƯ, KINH DOANH TRONG LĨNH VỰC ĐƯỜNG THỦY NỘI ĐỊA"
Nghị định 11/2010/NĐ-CP Quy định về quản lý và bảo vệ kết cấu hạ tầng giao thông đường bộ,"Nghị định 125/2018/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 64/2016/NĐ-CP ngày 01 tháng 7 năm 2016 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 11/2010/NĐ-CP ngày 24 tháng 02 năm 2010 quy định về quản lý và bảo vệ kết cấu hạ tầng giao thông đường bộ"
"Nghị định 64/2016/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 11/2010/NĐ-CP ngày 24 tháng 02 năm 2010 của Chính phủ quy định về quản lý và bảo vệ kết cấu hạ tầng giao thông đường bộ","Nghị định 125/2018/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 64/2016/NĐ-CP ngày 01 tháng 7 năm 2016 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 11/2010/NĐ-CP ngày 24 tháng 02 năm 2010 quy định về quản lý và bảo vệ kết cấu hạ tầng giao thông đường bộ"
Nghị định 49/2013/NĐ-CP Hướng dẫn Bộ luật Lao động về tiền lương,"Nghị định 121/2018/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 49/2013/NĐ-CP ngày 14/5/2013 của Chính Phủ quy định chi tiết thi hành một số điều của Bộ luật Lao động về tiền lương"
"Nghị định 55/2015/NĐ-CP Về chính sách tín dụng phục vụ phát triển nông nghiệp, nông thôn","Nghị định 116/2018/NĐ-CP SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA NGHỊ ĐỊNH SỐ 55/2015/NĐ-CP NGÀY 09 THÁNG 6 NĂM 2015 CỦA CHÍNH PHỦ VỀ CHÍNH SÁCH TÍN DỤNG PHỤC VỤ PHÁT TRIỂN NÔNG NGHIỆP, NÔNG THÔN"
Nghị định 108/2014/NĐ-CP Về chính sách tinh giản biên chế,"Nghị định 113/2018/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 108/2014/NĐ-CP ngày 20 tháng 11 năm 2014 của Chính phủ về chính sách tinh giản biên chế"
Nghị định 78/2015/NĐ-CP Về đăng ký doanh nghiệp,"Nghị định 108/2018/NĐ-CP SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA NGHỊ ĐỊNH SỐ 78/2015/NĐ-CP NGÀY 14 THÁNG 9 NĂM 2015 CỦA CHÍNH PHỦ VỀ ĐĂNG KÝ DOANH NGHIỆP"
"Nghị định 85/2014/NĐ-CP Quy định mẫu huân chương, huy chương, huy hiệu, kỷ niệm chương;; mẫu bằng, khung, hộp, cờ của các hình thức khen thưởng và danh hiệu thi đua;; quản lý, cấp phát, cấp đổi, cấp lại, thu hồi hiện vật khen thưởng","Nghị định 101/2018/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 85/2014/NĐ-CP ngày 10 tháng 9 năm 2014 của Chính phủ quy định mẫu huân chương, huy chương, huy hiệu, kỷ niệm chương; mẫu bằng, khung, hộp, cờ của các hình thức khen thưởng và danh hiệu thi đua; quản lý, cấp phát, cấp đổi, cấp lại, thu hồi hiện vật khen thưởng"
Nghị định 59/2015/NĐ-CP Về quản lý dự án đầu tư xây dựng,"Nghị định 100/2018/NĐ-CP Sửa đổi, bổ sung, bãi bỏ một số quy định về điều kiện đầu tư kinh doanh thuộc các lĩnh vực quản lý nhà nước của Bộ Xây dựng"
"Nghị định 79/2016/NĐ-CP Quy định điều kiện kinh doanh dịch vụ đào tạo, bồi dưỡng kiến thức chuyên môn, nghiệp vụ quản lý vận hành nhà chung cư, kiến thức hành nghề môi giới bất động sản, điều hành sàn giao dịch bất động sản","Nghị định 100/2018/NĐ-CP Sửa đổi, bổ sung, bãi bỏ một số quy định về điều kiện đầu tư kinh doanh thuộc các lĩnh vực quản lý nhà nước của Bộ Xây dựng"
"Nghị định 42/2017/NĐ-CP Về sửa đổi, bổ sung một số điều Nghị định số 59/2015/NĐ-CP ngày 18 tháng 6 năm 2015 của Chính phủ về quản lý dự án đầu tư xây dựng.","Nghị định 100/2018/NĐ-CP Sửa đổi, bổ sung, bãi bỏ một số quy định về điều kiện đầu tư kinh doanh thuộc các lĩnh vực quản lý nhà nước của Bộ Xây dựng"
Nghị định 127/2007/NĐ-CP Quy định chi tiết thi hành một số điều của Luật Tiêu chuẩn và Quy chuẩn kỹ thuật,"Nghị định 78/2018/NĐ-CP Sửa đổi, bổ sung một số đều của Nghị định số 127/2007/NĐ-CP ngày 01 tháng 8 năm 2007 của Chính phủ quy định chi tiết thi hành một số điều Luật tiêu chuẩn và quy chuẩn kỹ thuật."
"Nghị định 132/2008/NĐ-CP Quy định chi tiết thi hành một số điều của Luật chất lượng sản phẩm, hàng hóa","Nghị định 74/2018/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 132/2008/NĐ-CP ngày 31 tháng 12 năm 2008 của Chính phủ quy định chi tiết thi hành một số điều Luật chất lượng sản phẩm, hàng hóa"
Nghị định 158/2006/NĐ-CP Quy định chi tiết Luật Thương mại về hoạt động mua bán hàng hoá qua Sở Giao dịch hàng hóa,"Nghị định 51/2018/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 158/2006/NĐ-CP ngày 28 tháng 12 năm 2006 của Chính phủ quy định chi tiết Luật Thương mại về hoạt động mua bán hàng hóa qua Sở Giao dịch hàng hóa"
"Nghị định 98/2013/NĐ-CP Quy định về xử phạt vi phạm hành chính trong lĩnh vực kinh doanh bảo hiểm, kinh doanh xổ số","Nghị định 48/2018/NĐ-CP sửa đổi, bổ sung một số điều của Nghị định số 98/2013/NĐ-CP ngày 28 tháng 8 năm 2013 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực kinh doanh bảo hiểm, kinh doanh xổ số."
Nghị định 39/2009/NĐ-CP Về vật liệu nổ công nghiệp,Nghị định 08/2018/NĐ-CP Sửa đổi một số Nghị định liên quan đến điều kiện đầu tư kinh doanh thuộc phạm vi quản lý nhà nước của Bộ Công Thương
Nghị định 35/2006/NĐ-CP Quy định chi tiết Luật Thương mại về hoạt động nhượng quyền thương mại,Nghị định 08/2018/NĐ-CP Sửa đổi một số Nghị định liên quan đến điều kiện đầu tư kinh doanh thuộc phạm vi quản lý nhà nước của Bộ Công Thương
Nghị định 52/2013/NĐ-CP Về Thương mại điện tử,Nghị định 08/2018/NĐ-CP Sửa đổi một số Nghị định liên quan đến điều kiện đầu tư kinh doanh thuộc phạm vi quản lý nhà nước của Bộ Công Thương
"Nghị định 137/2013/NĐ-CP Quy định chi tiết thi hành một số điều của Luật Điện lực và Luật sửa đổi, bổ sung một số điều của Luật Điện lực",Nghị định 08/2018/NĐ-CP Sửa đổi một số Nghị định liên quan đến điều kiện đầu tư kinh doanh thuộc phạm vi quản lý nhà nước của Bộ Công Thương
"Nghị định 67/2013/NĐ-CP Quy định chi tiết một số điều và biện pháp thi hành Luật Phòng, chống tác hại của thuốc lá về kinh doanh thuốc lá",Nghị định 08/2018/NĐ-CP Sửa đổi một số Nghị định liên quan đến điều kiện đầu tư kinh doanh thuộc phạm vi quản lý nhà nước của Bộ Công Thương
"Nghị định 38/2014/NĐ-CP Về quản lý hóa chất thuộc diện kiểm soát của Công ước Cấm phát triển, sản xuất, tàng trữ, sử dụng và phá hủy vũ khí hóa học",Nghị định 08/2018/NĐ-CP Sửa đổi một số Nghị định liên quan đến điều kiện đầu tư kinh doanh thuộc phạm vi quản lý nhà nước của Bộ Công Thương
Nghị định 83/2014/NĐ-CP Về kinh doanh xăng dầu,Nghị định 08/2018/NĐ-CP Sửa đổi một số Nghị định liên quan đến điều kiện đầu tư kinh doanh thuộc phạm vi quản lý nhà nước của Bộ Công Thương
"Nghị định 77/2016/NĐ-CP Sửa đổi, bổ sung một số quy định về điều kiện đầu tư kinh doanh trong lĩnh vực mua bán hàng hóa quốc tế, hóa chất, vật liệu nổ công nghiệp, phân bón, kinh doanh khí, kinh doanh thực phẩm thuộc phạm vi quản lý nhà nước của Bộ Công Thương",Nghị định 08/2018/NĐ-CP Sửa đổi một số Nghị định liên quan đến điều kiện đầu tư kinh doanh thuộc phạm vi quản lý nhà nước của Bộ Công Thương
"Nghị định 21/2016/NĐ-CP Quy định việc thực hiện chức năng thanh tra chuyên ngành về đóng bảo hiểm xã hội, bảo hiểm thất nghiệp, bảo hiểm y tế của cơ quan bảo hiểm xã hội","Nghị định 161/2017/NĐ-CP Sửa đổi Điều 12 Nghị định số 21/2016/NĐ-CP ngày 31/03/2016 của Chính phủ quy định việc thực hiện chức năng thanh tra chuyên ngành về đóng bảo hiểm xã hội, bảo hiểm y tê của cơ quan bảo hiểm xã hội"
"Nghị định 67/2013/NĐ-CP Quy định chi tiết một số điều và biện pháp thi hành Luật Phòng, chống tác hại của thuốc lá về kinh doanh thuốc lá","Nghị định 106/2017/NĐ-CP sửa đổi, bổ sung một số điều của Nghị định số 67/2013/NĐ-CP ngày 27 tháng 6 năm 2013 của Chính phủ quy định chi tiết một số điều và biện pháp thi hành Luật Phòng, chống tác hại của thuốc lá về kinh doanh thuốc lá"
"Nghị định 100/2016/NĐ-CP Quy định chi tiết và hướng dẫn thi hành một số điều của Luật sửa đổi, bổ sung một số điều của Luật thuế giá trị gia tăng, Luật thuế tiêu thụ đặc biệt và Luật quản lý thuế","Nghị định 146/2017/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 100/2016/NĐ-CP ngày 01 tháng 7 năm 2016 và Nghị định số 12/2015/NĐ-CP ngày 12 tháng 02 năm 2015 của Chính phủ"
"Nghị định 111/2013/NĐ-CP Quy định chế độ áp dụng biện pháp xử lý hành chính giáo dục tại xã, phường, thị trấn","Nghị định 56/2016/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 111/2013/NĐ-CP ngày 30 tháng 9 năm 2013 của Chính phủ quy định chế độ áp dụng biện pháp xử lý hành chính giáo dục tại xã, phường, thị trấn"
"Nghị định 14/2013/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 07/2007/NĐ-CP ngày 12 tháng 01 năm 2007 của Chính phủ quy định chi tiết và hướng dẫn thi hành một số điều của Luật Trợ giúp pháp lý","Nghị định 80/2015/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 14/2013/NĐ-CP ngày 05 tháng 02 năm 2013 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 07/2007/NĐ-CP ngày 12 tháng 01 năm 2007 của Chính phủ quy định chi tiết và hướng dẫn thi hành một số điều của Luật Trợ giúp pháp lý"
Nghị định 59/2015/NĐ-CP Về quản lý dự án đầu tư xây dựng,"Thông tư 75/2017/TT-BTC Sửa đổi, bổ sung một số điều của Thông tu* số 55/2016/TT-BTC ngày 23/3/2016 của Bộ Tài chính quy định một số nội dung về quản lý tài chính đối vói dự án đầu tư theo hình thức đối tác công tư và chi phí lựa chọn nhà đầu tư"
Nghị định 59/2015/NĐ-CP Về quản lý dự án đầu tư xây dựng,"Nghị định 42/2017/NĐ-CP Về sửa đổi, bổ sung một số điều Nghị định số 59/2015/NĐ-CP ngày 18 tháng 6 năm 2015 của Chính phủ về quản lý dự án đầu tư xây dựng."
"Nghị định 12/2015/NĐ-CP Quy định chi tiết thi hành Luật sửa đổi, bổ sung một số điều của các Luật về thuế và sửa đổi, bổ sung một số điều của các Nghị định về thuế","Nghị định 146/2017/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 100/2016/NĐ-CP ngày 01 tháng 7 năm 2016 và Nghị định số 12/2015/NĐ-CP ngày 12 tháng 02 năm 2015 của Chính phủ"
"Nghị định 85/2014/NĐ-CP Quy định mẫu huân chương, huy chương, huy hiệu, kỷ niệm chương; mẫu bằng, khung, hộp, cờ của các hình thức khen thưởng và danh hiệu thi đua; quản lý, cấp phát, cấp đổi, cấp lại, thu hồi hiện vật khen thưởng","Nghị định 101/2018/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 85/2014/NĐ-CP ngày 10 tháng 9 năm 2014 của Chính phủ quy định mẫu huân chương, huy chương, huy hiệu, kỷ niệm chương; mẫu bằng, khung, hộp, cờ của các hình thức khen thưởng và danh hiệu thi đua; quản lý, cấp phát, cấp đổi, cấp lại, thu hồi hiện vật khen thưởng"
"Nghị định 76/2014/NĐ-CP Quy định chi tiết một số điều của Pháp lệnh sửa đổi, bổ sung một số điều của Pháp lệnh quản lý, sử dụng vũ khí, vật liệu nổ và công cụ hỗ trợ","Nghị định 77/2016/NĐ-CP Sửa đổi, bổ sung một số quy định về điều kiện đầu tư kinh doanh trong lĩnh vực mua bán hàng hóa quốc tế, hóa chất, vật liệu nổ công nghiệp, phân bón, kinh doanh khí, kinh doanh thực phẩm thuộc phạm vi quản lý nhà nước của Bộ Công Thương"
"Nghị định 38/2014/NĐ-CP Về quản lý hóa chất thuộc diện kiểm soát của Công ước Cấm phát triển, sản xuất, tàng trữ, sử dụng và phá hủy vũ khí hóa học","Nghị định 77/2016/NĐ-CP Sửa đổi, bổ sung một số quy định về điều kiện đầu tư kinh doanh trong lĩnh vực mua bán hàng hóa quốc tế, hóa chất, vật liệu nổ công nghiệp, phân bón, kinh doanh khí, kinh doanh thực phẩm thuộc phạm vi quản lý nhà nước của Bộ Công Thương"
Nghị định 213/2013/NĐ-CP Về tổ chức và hoạt động của thanh tra ngành Khoa học và Công nghệ,"Nghị định 27/2017/NĐ-CP sửa đổi, bổ sung một số điều của Nghị định số 213/2013/NĐ-CP ngày 20 tháng 12 năm 2013 của Chính phủ về tổ chức và hoạt động của thanh tra ngành Khoa học và Công nghệ"
Nghị định 209/2013/NĐ-CP Quy định chi tiết và hướng dẫn thi hành một số điều Luật thuế giá trị gia tăng,"Nghị định 10/2017/NĐ-CP Ban hành Quy chế quản lý tài chính của Tập đoàn Điện lực Việt Nam và sửa đổi, bổ sung khoản 4 Điều 4 Nghị định số 209/2013/NĐ-CP ngày 18 tháng 12 năm 2013 của Chính phủ quy định chi tiết và hướng dẫn thi hành một số điều của Luật thuế giá trị gia tăng"
Nghị định 202/2013/NĐ-CP Về quản lý phân bón,"Nghị định 77/2016/NĐ-CP Sửa đổi, bổ sung một số quy định về điều kiện đầu tư kinh doanh trong lĩnh vực mua bán hàng hóa quốc tế, hóa chất, vật liệu nổ công nghiệp, phân bón, kinh doanh khí, kinh doanh thực phẩm thuộc phạm vi quản lý nhà nước của Bộ Công Thương"
"Nghị định 187/2013/NĐ-CP Quy định chi tiết thi hành Luật Thương mại về hoạt động mua bán hàng hóa quốc tế và các hoạt động đại lý mua, bán, gia công và quá cảnh hàng hóa với nước ngoài","Nghị định 77/2016/NĐ-CP Sửa đổi, bổ sung một số quy định về điều kiện đầu tư kinh doanh trong lĩnh vực mua bán hàng hóa quốc tế, hóa chất, vật liệu nổ công nghiệp, phân bón, kinh doanh khí, kinh doanh thực phẩm thuộc phạm vi quản lý nhà nước của Bộ Công Thương"
"Nghị định 157/2013/NĐ-CP Quy định xử phạt vi phạm hành chính về quản lý rừng, phát triển rừng, bảo vệ rừng và quản lý lâm sản","Nghị định 41/2017/NĐ-CP Sửa đổi, bổ sung một số điều của các nghị định về xử phạt vi phạm hành chính trong hoạt động thủy sản; lĩnh vực thú y, giống vật nuôi, thức ăn chăn nuôi; quản lý rừng, phát triển rừng, bảo vệ rừng và quản lý lâm sản"
"Nghị định 151/2013/NĐ-CP Về chức năng, nhiệm vụ và cơ chế hoạt động của Tổng công ty Đầu tư và Kinh doanh vốn nhà nước","Nghị định 147/2017/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 151/2013/NĐ-CP ngày 01 tháng 11 năm 2013 của Chính phủ về chức năng, nhiệm vụ và cơ chế hoạt động của Tổng công ty Đầu tư và Kinh doanh vốn nhà nước"
Nghị định 123/2013/NĐ-CP Quy định chi tiết một số điều và biện pháp thi hành Luật Luật sư,"Nghị định 137/2018/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 123/2013/NĐ-CP ngày 14 tháng 10 năm 2013 của Chính phủ quy định chi tiết một số điều và biện pháp thi hành Luật luật sư"
