source,target
Luật 22/2000/QH10 Hôn nhân và gia đình,Luật 52/2010/QH12 Nuôi con nuôi
"Pháp lệnh 43/2002/PL-UBTVQH10 Bưu chính, viễn thông",Luật 49/2010/QH12 Bưu chính
"Pháp lệnh 43/2002/PL-UBTVQH10 Bưu chính, viễn thông",Luật 42/2009/QH12 Tần số vô tuyến điện
"Pháp lệnh 43/2002/PL-UBTVQH10 Bưu chính, viễn thông",Luật 41/2009/QH12 Viễn thông
Luật 56/2005/QH11 Nhà ở,"Luật 38/2009/QH12 Sửa đổi, bổ sung một số điều của các luật liên quan đến đầu tư xây dựng cơ bản"
Luật 13/2003/QH11 Đất đai,"Luật 38/2009/QH12 Sửa đổi, bổ sung một số điều của các luật liên quan đến đầu tư xây dựng cơ bản"
Luật 50/2005/QH11 Sở hữu trí tuệ,"Luật 36/2009/QH12 Sửa đổi, bổ sung một số điều của Luật Sở hữu trí tuệ"
Luật 62/2006/QH11 Điện ảnh,"Luật 31/2009/QH12 Sửa đổi, bổ sung một số điều của Luật điện ảnh"
Luật 28/2001/QH10 Di sản văn hoá,"Luật 32/2009/QH12 Sửa đổi, bổ sung một số điều của Luật Di sản văn hóa"
"Luật 57/2005/QH11 Luật sửa đổi, bổ sung một số điều của Luật Thuế tiêu thụ đặc biệt và Luật Thuế giá trị gia tăng",Luật 27/2008/QH12 Thuế tiêu thụ đặc biệt
"Luật 19/2000/QH10 Sửa đổi, bổ sung một số điều của Luật Dầu khí","Luật 10/2008/QH12 Sửa đổi, bổ sung một số điều của Luật Dầu khí"
Luật Không số Dầu khí,"Luật 10/2008/QH12 Sửa đổi, bổ sung một số điều của Luật Dầu khí"
Luật 79/2006/QH11 Đê điều,"Luật 15/2008/QH12 Trưng mua, trưng dụng tài sản"
Luật 54/2005/QH11 Công an nhân dân,"Luật 15/2008/QH12 Trưng mua, trưng dụng tài sản"
"Luật 03/2007/QH12 Phòng, chống bệnh truyền nhiễm","Luật 15/2008/QH12 Trưng mua, trưng dụng tài sản"
Luật 13/2003/QH11 Đất đai,"Luật 15/2008/QH12 Trưng mua, trưng dụng tài sản"
Luật 30/2004/QH11 Xuất bản,"Luật 12/2008/QH12 Sửa đổi, bổ sung một số điều của Luật Xuất bản"
Luật 16/1999/QH10 Sỹ quan quân đội nhân dân Việt Nam,"Luật 19/2008/QH12 Sửa đổi, bổ sung một số điều của Luật Sĩ quan quân đội nhân dân Việt Nam"
"Luật 23/2000/QH10 Phòng, chống ma túy","Luật 16/2008/QH12 Sửa đổi, bổ sung một số điều của Luật Phòng, chống ma túy"
"Luật 57/2005/QH11 Luật sửa đổi, bổ sung một số điều của Luật Thuế tiêu thụ đặc biệt và Luật Thuế giá trị gia tăng",Luật 13/2008/QH12 Thuế giá trị gia tăng
Luật 21/2000/QH10 Khoa học và Công nghệ,"Luật 45/2005/QH11 Thuế xuất khẩu, thuế nhập khẩu"
"Luật 19/2000/QH10 Sửa đổi, bổ sung một số điều của Luật Dầu khí","Luật 45/2005/QH11 Thuế xuất khẩu, thuế nhập khẩu"
"Luật 18/2000/QH10 Sửa đổi, bổ sung một số điều của Luật đầu tư nước ngoài tại Việt Nam","Luật 45/2005/QH11 Thuế xuất khẩu, thuế nhập khẩu"
Luật 03/1998/QH10 Khuyến khích đầu tư trong nước (sửa đổi),"Luật 45/2005/QH11 Thuế xuất khẩu, thuế nhập khẩu"
"Luật Không số Sửa đổi, bổ sung một số điều của Luật Nghĩa vụ quân sự",Luật 43/2005/QH11 Sửa đổi bổ sung một số điều của Luật Nghĩa vụ quân sự
Luật Không số Nghĩa vụ quân sự,Luật 43/2005/QH11 Sửa đổi bổ sung một số điều của Luật Nghĩa vụ quân sự
Luật 36/2005/QH11 Thương mại,Luật 05/2017/QH14 quản lý ngoại thương
Luật Không số Khoáng sản,"Luật 46/2005/QH11 Luật sửa đổi, bổ sung một số điều của Luật Khoáng sản"
Luật 02/1997/QH10 Các tổ chức tín dụng,"Luật 20/2004/QH11 Sửa đổi, bổ sung một số điều của Luật các Tổ chức tín dụng"
"Luật 09/1998/QH10 Khiếu nại, tố cáo","Luật 26/2004/QH11 Sửa đổi, bổ sung một số điều của Luật Khiếu nại, tố cáo"
Luật 23/2004/QH11 Giao thông đường thủy nội địa,"Luật 48/2014/QH13 Luật Sửa đổi, bổ sung một số điều của Luật Giao thông đường thủy nội địa"
"Luật 18/2000/QH10 Sửa đổi, bổ sung một số điều của Luật đầu tư nước ngoài tại Việt Nam",Luật 09/2003/QH11 Thuế thu nhập doanh nghiệp
Luật Không số Thuế Chuyển quyền sử dụng đất,Luật 09/2003/QH11 Thuế thu nhập doanh nghiệp
Luật 01/1997/QH10 Ngân hàng Nhà nước,"Luật 10/2003/QH11 Sửa đổi, bổ sung một số điều của Luật Ngân hàng Nhà nước Việt Nam"
Luật Không số Ban hành Văn bản quy phạm pháp luật,"Luật 02/2002/QH11 Sửa đổi, bổ sung một số điều của Luật Ban hành văn bản quy phạm pháp luật"
Luật Không số Đất đai,"Luật 25/2001/QH10 Sửa đổi, bổ sung một số điều của Luật Đất đai."
"Luật 41-LCT/HĐNN8 Sửa đổi, bổ sung một số điều của Luật Đầu tư nước ngoài tại Việt Nam","Luật 18/2000/QH10 Sửa đổi, bổ sung một số điều của Luật đầu tư nước ngoài tại Việt Nam"
"Luật Không số Sửa đổi, bổ sung một số điều của Bộ luật Tố tụng hình sự","Luật 20/2000/QH10 Sửa đổi, bổ sung một số điều của Bộ luật Tố tụng hình sự"
Luật Không số Thuế Chuyển quyền sử dụng đất,"Luật 17/1999/QH10 Sửa đổi, bổ sung một số điều của Luật thuế chuyển quyền sử dụng đất"
Luật Không số Báo chí,"Luật 12/1999/QH10 Sửa đổi, bổ sung một số điều của Luật Báo chí"
Luật 63-LCT/HĐNN8 Hàng không dân dụng,"Luật Không số Sửa đổi, bổ sung một số điều của Luật Hàng không dân dụng Việt Nam"
Luật Không số Thuế Tiêu thụ đặc biệt,"Luật 64-LTC/HĐNN8 Thuế Xuất khẩu, Thuế Nhập khẩu"
Luật Không số Nghĩa vụ quân sự,"Luật Không số Sửa đổi, bổ sung một số điều của Luật Nghĩa vụ quân sự"
Luật Không số Đầu tư nước ngoài tại Việt Nam,"Luật 41-LCT/HĐNN8 Sửa đổi, bổ sung một số điều của Luật Đầu tư nước ngoài tại Việt Nam"
Luật 270B-NQ/HĐNN8 Thuế Tiêu thụ đặc biệt,"Luật 64-LTC/HĐNN8 Thuế Xuất khẩu, Thuế Nhập khẩu"
Luật 29-LCT/HĐNN8 Báo chí,"Luật 12/1999/QH10 Sửa đổi, bổ sung một số điều của Luật Báo chí"
Luật 3-LCT/HĐNN7 Tổ chức Viện kiểm sát nhân dân,"Luật Không số Sửa đổi, bổ sung Luật Tổ chức Viện kiểm sát nhân dân"
1139/2007/UBTVQH11 Nghị quyết số 1139/2007/UBTVQH11  ban hành ngày 03/07/2007,Pháp lệnh 01/2012/UBTVQH13 Hợp nhất văn bản quy phạm pháp luật
Pháp lệnh Không số Thi hành án phạt tù,"Pháp lệnh 01/2007/UBTVQH12 Sửa đổi, bổ sung một số điều của Pháp lệnh thi hành án phạt tù"
"Pháp lệnh 34/2007/PL-UBTVQH11 Thực hiện dân chủ ở xã, phường, thị trấn","Nghị quyết 35/2012/QH13 Về việc lấy phiếu tín nhiệm, bỏ phiếu tín nhiệm đối với người giữ chức vụ do Quốc hội, Hội đồng nhân dân bầu hoặc phê chuẩn"
Pháp lệnh 44/2002/PL-UBTVQH10 Xử lý vi phạm hành chính,Pháp lệnh 31/2007/PL-UBTVQH11 Sửa đổi một số điều của Pháp lệnh Xử lý vi phạm hành chính
Pháp lệnh Không số Thủ tục giải quyết các vụ án hành chính,"Pháp lệnh 29/2006/PL-UBTVQH11 Sửa đổi, bổ sung một số điều của Pháp lệnh Thủ tục giải quyết các vụ án hành chính"
Pháp lệnh 49L/CTN Thủ tục giải quyết các vụ án hành chính,"Pháp lệnh 29/2006/PL-UBTVQH11 Sửa đổi, bổ sung một số điều của Pháp lệnh Thủ tục giải quyết các vụ án hành chính"
Pháp lệnh Không số Sửa đổi và bổ sung một số điểm về thuế công thương nghiệp và thuế sát sinh,"Pháp lệnh 16/LC_HDNN Sửa đổi, bổ sung một số điều trong các Pháp lệnh, Điều lệ về thuế công thương nghiệp và thuế hàng hoá"
Pháp lệnh Không số Sửa đổi một số điều về Thuế Công thương nghiệp,"Pháp lệnh 16/LC_HDNN Sửa đổi, bổ sung một số điều trong các Pháp lệnh, Điều lệ về thuế công thương nghiệp và thuế hàng hoá"
Nghị quyết 200/NQ-TVQH Về việc ban hành Điều lệ Thuế công thương nghiệp,"Pháp lệnh 16/LC_HDNN Sửa đổi, bổ sung một số điều trong các Pháp lệnh, Điều lệ về thuế công thương nghiệp và thuế hàng hoá"
Pháp lệnh Không số Thuế Nông nghiệp,"Pháp lệnh Không số Sửa đổi, bổ sung Pháp lệnh về Thuế Nông nghiệp"
Pháp lệnh Không số Về việc Phát hành công trái xây dựng Tổ quốc,"Pháp lệnh Không số Bổ sung, sửa đổi một số điểm trong Pháp lệnh về việc phát hành công trái xây dựng Tổ quốc"
Nghị quyết 487-NQ/QHK4 Về việc ban hành Điều lệ Thuế Hàng hoá,Pháp lệnh Không số Sửa đổi một số điều về Thuế Công thương nghiệp
Nghị quyết 200-NQ/TVQH Về việc ban hành Điều lệ Thuế công thương nghiệp,Pháp lệnh Không số Sửa đổi một số điều về Thuế Công thương nghiệp
Nghị quyết 200-NQ/TVQH Về việc ban hành Điều lệ Thuế công thương nghiệp,Pháp lệnh Không số Sửa đổi và bổ sung một số điểm về thuế công thương nghiệp và thuế sát sinh
Pháp lệnh Số: 18/LCT Quy định cụ thể về tổ chức của Toà án nhân dân tối cao và tổ chức các Toà án nhân dân địa phương,Pháp lệnh 18/LCT Về việc sửa đổi Điều 15 của Pháp lệnh quy định cụ thể về tổ chức của Toà án nhân dân tối cao và tổ chức của Toà án nhân dân địa phương ngày 23-3-1961
Pháp lệnh 12/LCT Quy định cụ thể về tổ chức của Viện kiểm sát nhân dân tối cao,Pháp lệnh Không số Về việc sửa đổi và bổ sung Pháp lệnh quy định cụ thể về tổ chức của Viện kiểm sát nhân dân tối cao ngày 16-4-1962
Pháp lệnh 1/LCT Về việc Bầu cử Hội đồng nhân dân các cấp,Pháp lệnh Không số Về việc sửa đổi và bổ sung một số điều khoản của Pháp lệnh năm 1961 quy định thể lệ bầu cử Hội đồng nhân dân các cấp
"Nghị quyết 522b/NQ-UBTVQH13 VỀ TRANG PHỤC ĐỐI VỚI CÁN BỘ, CÔNG CHỨC, VIÊN CHỨC NGÀNH KIỂM SÁT VÀ GIẤY CHỨNG MINH KIỂM SÁT VIÊN","Nghị quyết 973/2015/UBTVQH13 VỀ SỬA ĐỔI, BỔ SUNG BẢNG PHỤ CẤP CHỨC VỤ ĐỐI VỚI CÁN BỘ LÃNH ĐẠO CỦA NHÀ NƯỚC VÀ ĐẠI BIỂU QUỐC HỘI HOẠT ĐỘNG CHUYÊN TRÁCH, BẢNG LƯƠNG CHUYÊN MÔN, NGHIỆP VỤ NGÀNH TÒA ÁN, NGÀNH KIỂM SÁT BAN HÀNH KÈM THEO NGHỊ QUYẾT SỐ 730/2004/NQ-UBTVQH11 NGÀY 30 THÁNG 9 NĂM 2004 CỦA ỦY BAN THƯỜNG VỤ QUỐC HỘI; SỬA ĐỔI, BỔ SUNG NGHỊ QUYẾT SỐ 522b/NQ-UBTVQH13 NGÀY 16 THÁNG 8 NĂM 2012 CỦA ỦY BAN THƯỜNG VỤ QUỐC HỘI VỀ TRANG PHỤC ĐỐI VỚI CÁN BỘ, CÔNG CHỨC, VIÊN CHỨC NGÀNH KIỂM SÁT VÀ GIẤY CHỨNG MINH KIỂM SÁT VIÊN"
"Nghị quyết 386/2003/NQ-UBTVQH11  Về việc thành lập viện kiểm sát quân sự quân khu và tương đương, Viện kiểm sát quân sự khu vực",Nghị quyết 1268/2011/UBTVQH12 Về việc thành lập Viện kiểm sát quân sự Thủ đô Hà Nội
Nghị quyết 01/2006/NQ-HĐTP Hướng dẫn áp dụng một số quy định của Bộ luật hình sự,Nghị quyết 01/2010/NQ-HĐTP Hướng dẫn áp dụng một số quy định tại Điều 248 và Điều 249 của Bộ luật Hình sự
Nghị quyết 02/2003/NQ-HĐTP Hướng dẫn áp dụng một số quy định của Bộ luật Hình sự,Nghị quyết 01/2010/NQ-HĐTP Hướng dẫn áp dụng một số quy định tại Điều 248 và Điều 249 của Bộ luật Hình sự
Nghị quyết 753/2005/NQ-UBTVQH11 Ban hành Quy chế hoạt động của Hội đồng nhân dân,"Nghị quyết 545/2007/UBTVQH12 Thành lập và quy định vị trí, chức năng, nhiệm vụ, quyền hạn, cơ cấu, tổ chức của văn phòng đoàn đại biểu quốc hội và hội đồng nhân dân tỉnh, thành phố trực thuộc Trung ương"
"Nghị quyết 386/2003/NQ-UBTVQH11 Về việc thành lập Viện Kiểm sát quân sự quân khu và tương đương, Viện Kiểm sát quân sự khu vực",Nghị quyết 1268/2011/UBTVQH12 Về việc thành lập Viện kiểm sát quân sự Thủ đô Hà Nội
Nghị quyết 487-NQ/QHK4 Về việc ban hành Điều lệ Thuế Hàng hoá,"Pháp lệnh 2-LCT/HĐNN8 Bổ sung, sửa đổi một số điều trong Điều lệ về thuế công thương nghiệp và Điều lệ về thuế hàng hoá"
Nghị quyết 200-NQ/TVQH Về việc ban hành Điều lệ Thuế công thương nghiệp,"Pháp lệnh 16/LC_HDNN Sửa đổi, bổ sung một số điều trong các Pháp lệnh, Điều lệ về thuế công thương nghiệp và thuế hàng hoá"
"Thông tư 47/2015/TT-BLĐTBXH Hướng dẫn thực hiện một số điều về hợp đồng lao động, kỷ luật lao động, trách nhiệm vật chất của Nghị định số 05/2015/NĐ-CP ngày 12 tháng 01 năm 2015 của Chính phủ quy định chi tiết và hướng dẫn thi hành một số nội dung của Bộ luật lao động","Nghị định 148/2018/NĐ-CP Sửa đổi, bổ sung một số điều của Nghị định số 05/2015/NĐ-CP ngày 12/01/2015 của Chính phủ quy định chi tiết và hướng dẫn thi hành một số nội dung của Bộ luật lao động"
Nghị định 28/2012/NĐ-CP Quy định chi tiết và hướng dẫn thi hành một số điều của Luật Người khuyết tật,"Nghị định 140/2018/NĐ-CP Sửa đổi, bổ sung các Nghị định liên quan đến điều kiện đầu tư kinh doanh và thủ tục hành chính thuộc phạm vi quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội"
Nghị định 136/2013/NĐ-CP Quy định chính sách trợ giúp xã hội đối với đối tượng bảo trợ xã hội,"Nghị định 140/2018/NĐ-CP Sửa đổi, bổ sung các Nghị định liên quan đến điều kiện đầu tư kinh doanh và thủ tục hành chính thuộc phạm vi quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội"
"Nghị định 52/2014/NĐ-CP Quy định điều kiện, thủ tục cấp giấy phép hoạt động dịch vụ việc làm của doanh nghiệp hoạt động dịch vụ việc làm","Nghị định 140/2018/NĐ-CP Sửa đổi, bổ sung các Nghị định liên quan đến điều kiện đầu tư kinh doanh và thủ tục hành chính thuộc phạm vi quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội"
"Nghị định 31/2015/NĐ-CP Quy định chi tiết thi hành một số điều của Luật Việc làm về đánh giá, cấp chứng chỉ kỹ năng nghề quốc gia","Nghị định 140/2018/NĐ-CP Sửa đổi, bổ sung các Nghị định liên quan đến điều kiện đầu tư kinh doanh và thủ tục hành chính thuộc phạm vi quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội"
Nghị định 134/2015/NĐ-CP Quy định chi tiết một số điều của luật bảo hiểm xã hội về bảo hiểm xã hội tự nguyện,"Nghị định 140/2018/NĐ-CP Sửa đổi, bổ sung các Nghị định liên quan đến điều kiện đầu tư kinh doanh và thủ tục hành chính thuộc phạm vi quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội"
Nghị định 11/2016/NĐ-CP Quy định chi tiết thi hành một số điều của Bộ luật Lao động về lao động nước ngoài làm việc tại Việt Nam,"Nghị định 140/2018/NĐ-CP Sửa đổi, bổ sung các Nghị định liên quan đến điều kiện đầu tư kinh doanh và thủ tục hành chính thuộc phạm vi quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội"
Nghị định 143/2016/NĐ-CP Quy định điều kiện đầu tư và hoạt động trong lĩnh vực giáo dục nghề nghiệp,"Nghị định 140/2018/NĐ-CP Sửa đổi, bổ sung các Nghị định liên quan đến điều kiện đầu tư kinh doanh và thủ tục hành chính thuộc phạm vi quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội"
"Nghị định 166/2016/NĐ-CP Quy định về giao dịch điện tử trong lĩnh vực bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thất nghiệp","Nghị định 140/2018/NĐ-CP Sửa đổi, bổ sung các Nghị định liên quan đến điều kiện đầu tư kinh doanh và thủ tục hành chính thuộc phạm vi quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội"
Nghị định 49/2018/NĐ-CP Quy định về kiểm định chất lượng giáo dục nghề nghiệp,"Nghị định 140/2018/NĐ-CP Sửa đổi, bổ sung các Nghị định liên quan đến điều kiện đầu tư kinh doanh và thủ tục hành chính thuộc phạm vi quản lý nhà nước của Bộ Lao động - Thương binh và Xã hội"
"Nghị định 32/2013/NĐ-CP Hướng dẫn Luật Cơ yếu về chế độ, chính sách đối với người làm công tác cơ yếu",Nghị định 129/2018/NĐ-CP Bãi bỏ một số văn bản quy phạm pháp luật trong lĩnh vực quốc phòng
Nghị định 77/2015/NĐ-CP Về kế hoạch đầu tư công trung hạn và hằng năm,"Nghị định 120/2018/NĐ-CP Sửa đổi, bổ sung một số điều Nghị định 77/2015/NĐ-CP ngày 10/09/2015 của Chính phủ về kế hoạch đầu tư công trung hạn và hằng năm, 136/2015/NĐ-CP ngày 31/12/2015 của Chính phủ về hướng dẫn thi hành một số điều của Luật Đầu tư công và 161/2016/NĐ-CP ngày 02/12/2016 của Chính phủ về cơ chế đặc thù trong quản lý đầu tư xây dựng đối với một số dự án thuộc các Chương trình mục tiêu quốc gia giai đoạn 2016-2020."
Nghị định 136/2015/NĐ-CP Hướng dẫn thi hành một số điều của Luật Đầu tư công,"Nghị định 120/2018/NĐ-CP Sửa đổi, bổ sung một số điều Nghị định 77/2015/NĐ-CP ngày 10/09/2015 của Chính phủ về kế hoạch đầu tư công trung hạn và hằng năm, 136/2015/NĐ-CP ngày 31/12/2015 của Chính phủ về hướng dẫn thi hành một số điều của Luật Đầu tư công và 161/2016/NĐ-CP ngày 02/12/2016 của Chính phủ về cơ chế đặc thù trong quản lý đầu tư xây dựng đối với một số dự án thuộc các Chương trình mục tiêu quốc gia giai đoạn 2016-2020."
Nghị định 161/NĐ-CP Cơ chế đặc thù trong quản lý đầu tư xây dựng đối với một số dự án thuộc các chương trình mục tiêu quốc gia giai đoạn 2016 - 2020.,"Nghị định 120/2018/NĐ-CP Sửa đổi, bổ sung một số điều Nghị định 77/2015/NĐ-CP ngày 10/09/2015 của Chính phủ về kế hoạch đầu tư công trung hạn và hằng năm, 136/2015/NĐ-CP ngày 31/12/2015 của Chính phủ về hướng dẫn thi hành một số điều của Luật Đầu tư công và 161/2016/NĐ-CP ngày 02/12/2016 của Chính phủ về cơ chế đặc thù trong quản lý đầu tư xây dựng đối với một số dự án thuộc các Chương trình mục tiêu quốc gia giai đoạn 2016-2020."
Nghị định 78/2015/NĐ-CP Về đăng ký doanh nghiệp,"Nghị định 108/2018/NĐ-CP SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA NGHỊ ĐỊNH SỐ 78/2015/NĐ-CP NGÀY 14 THÁNG 9 NĂM 2015 CỦA CHÍNH PHỦ VỀ ĐĂNG KÝ DOANH NGHIỆP"
